OK AI时代六大超能力-卷一-Git与GitHub: md=362,260 epub=185,744 src=origin/main
OK AI时代六大超能力-卷五-APIs与自动化: md=212,793 epub=133,503 src=origin/main
OK AI时代六大超能力-卷六-你的第二大脑: md=211,305 epub=136,318 src=origin/main
OK AI时代的统计思维: md=905,986 epub=394,242 src=origin/main
OK 复杂性科学入门: md=759,413 epub=336,605 src=origin/main
OK 学术写作：从论文到研究计划: md=678,920 epub=303,462 src=origin/main
OK 明智决策：不确定世界中的理性思考: md=608,082 epub=284,981 src=origin/translate/decision-making
OK 社会心理学: md=518,347 epub=232,059 src=origin/main
OK 调试思维: md=461,504 epub=219,097 src=origin/main
OK 身体这台机器：随身硬件巡礼: md=374,670 epub=199,801 src=origin/translate/body-machine
OK 进化心理学: md=409,800 epub=193,154 src=origin/translate/evolutionary-psychology
HOLD 信息论：从香农到 AI: 134/282 on origin/main
